Date,Temperature AVG,Wind Speed Daily AVG
10/19/2014,29.44208333,2.0266666669999998
10/18/2014,28.90958333,0.0
10/17/2014,28.09791667,0.0
10/16/2014,21.04125,0.0
10/15/2014,20.77166667,2.861375
10/14/2014,23.44791667,28.76166667
10/13/2014,33.115,57.08125
10/12/2014,28.98708333,15.91291667
10/11/2014,25.32541667,27.79366667
10/10/2014,36.26208333,15.3465
10/9/2014,37.23625,2.300208333
10/8/2014,38.215,5.148083333
10/7/2014,40.94,8.546416667
10/6/2014,45.065,2.452583333
10/5/2014,45.68916667,3.155875
10/4/2014,42.99875,9.26775
10/3/2014,41.22583333,7.457833333
10/2/2014,35.38,10.23741667
10/1/2014,34.46875,14.21133333
9/30/2014,25.32583333,9.577916667
9/29/2014,35.29625,12.22416667
9/28/2014,43.03291667,4.85875
9/27/2014,33.31875,7.140916667000001
9/26/2014,28.23833333,0.897625
9/25/2014,26.82375,3.166208333
9/24/2014,29.70291667,45.915
9/23/2014,32.85733333,65.11066667
